"No_";"Name";"Customer Posting Group";"Creation Date";"VIP";"Country_Region Code";"City";"BirthDate";"MaritalStatus";"Gender";"EmailAddress";"AnnualIncome";"TotalChildren";"EducationLevel";"Occupation";"HomeOwner"
"CLI1133";"NATHAN JOHNSON";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Alcalá de Henares";"8/24/1943";"M";"M";"nathan55@adventure-works.com";"$100,000";2;"Graduate Degree";"Management";"Y"
"CLI1134";"MOLLY RODRIGUEZ";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Teruel";"6/14/1943";"M";"F";"molly18@adventure-works.com";"$120,000";2;"Graduate Degree";"Management";"Y"
"CLI1135";"APRIL ANAND";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Jaén";"1/2/1943";"M";"F";"april18@adventure-works.com";"$160,000";1;"Bachelors";"Management";"Y"
"CLI1136";"DEVIN MARTIN";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"León";"8/8/1943";"M";"M";"devin13@adventure-works.com";"$170,000";2;"Graduate Degree";"Management";"Y"
"CLI1137";"STEPHANIE TORRES";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Almeria";"8/25/1944";"S";"F";"stephanie19@adventure-works.com";"$70,000";4;"Bachelors";"Management";"Y"
"CLI1138";"JASMINE LEE";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Mérida";"7/15/1944";"S";"F";"jasmine19@adventure-works.com";"$70,000";4;"Bachelors";"Management";"Y"
"CLI1139";"MEGHAN HERNANDEZ";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Jerez de la Frontera";"11/16/1944";"S";"F";"meghan3@adventure-works.com";"$70,000";4;"Bachelors";"Management";"Y"
"CLI43010080";"IAN MURPHY";"S_1";"7/10/2014 12:00:00 AM";0;"ES";"Espinosa de los Monteros";"9/13/1972";"S";"M";"ian82@adventure-works.com";"$60,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI430100800";"JERRY NATH";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Maliaño";"9/5/1972";"M";"M";"jerry20@adventure-works.com";"$60,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI430100801";"DESTINY JAMES";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Pamplona";"2/19/1972";"S";"F";"destiny43@adventure-works.com";"$70,000";1;"Graduate Degree";"Professional";"Y"
